date,asset,ticker,close
2020-08-13,D05_SI,D05.SI,14.318868637084961
2020-08-14,D05_SI,D05.SI,14.204264640808105
2020-08-17,D05_SI,D05.SI,14.157073974609375
2020-08-18,D05_SI,D05.SI,13.981799125671387
2020-08-19,D05_SI,D05.SI,14.076175689697266
2020-08-20,D05_SI,D05.SI,13.968313217163086
2020-08-21,D05_SI,D05.SI,13.975052833557129
2020-08-24,D05_SI,D05.SI,14.01550579071045
2020-08-25,D05_SI,D05.SI,14.150335311889648
2020-08-26,D05_SI,D05.SI,13.94134521484375
2020-08-27,D05_SI,D05.SI,13.793034553527832
2020-08-28,D05_SI,D05.SI,13.995280265808105
2020-08-31,D05_SI,D05.SI,14.069437026977539
2020-09-01,D05_SI,D05.SI,14.069437026977539
2020-09-02,D05_SI,D05.SI,14.069437026977539
2020-09-03,D05_SI,D05.SI,13.995280265808105
2020-09-04,D05_SI,D05.SI,13.94134521484375
2020-09-07,D05_SI,D05.SI,13.968313217163086
2020-09-08,D05_SI,D05.SI,13.921122550964355
2020-09-09,D05_SI,D05.SI,13.833486557006836
2020-09-10,D05_SI,D05.SI,13.846967697143555
2020-09-11,D05_SI,D05.SI,13.826743125915527
2020-09-14,D05_SI,D05.SI,13.793034553527832
2020-09-15,D05_SI,D05.SI,13.718881607055664
2020-09-16,D05_SI,D05.SI,13.678431510925293
2020-09-17,D05_SI,D05.SI,13.49641227722168
2020-09-18,D05_SI,D05.SI,13.516637802124023
2020-09-21,D05_SI,D05.SI,13.476187705993652
2020-09-22,D05_SI,D05.SI,13.307650566101074
2020-09-23,D05_SI,D05.SI,13.408773422241211
2020-09-24,D05_SI,D05.SI,13.348098754882812
2020-09-25,D05_SI,D05.SI,13.489670753479004
2020-09-28,D05_SI,D05.SI,13.631244659423828
2020-09-29,D05_SI,D05.SI,13.46944522857666
2020-09-30,D05_SI,D05.SI,13.422257423400879
2020-10-01,D05_SI,D05.SI,13.752584457397461
2020-10-02,D05_SI,D05.SI,13.732365608215332
2020-10-05,D05_SI,D05.SI,13.873933792114258
2020-10-06,D05_SI,D05.SI,13.961569786071777
2020-10-07,D05_SI,D05.SI,14.069437026977539
2020-10-08,D05_SI,D05.SI,14.170557975769043
2020-10-09,D05_SI,D05.SI,14.190780639648438
2020-10-12,D05_SI,D05.SI,14.426734924316406
2020-10-13,D05_SI,D05.SI,14.554821014404297
2020-10-14,D05_SI,D05.SI,14.372802734375
2020-10-15,D05_SI,D05.SI,14.204264640808105
2020-10-16,D05_SI,D05.SI,14.419991493225098
2020-10-19,D05_SI,D05.SI,14.541341781616211
2020-10-20,D05_SI,D05.SI,14.359315872192383
2020-10-21,D05_SI,D05.SI,14.325606346130371
2020-10-22,D05_SI,D05.SI,14.453700065612793
2020-10-23,D05_SI,D05.SI,14.527854919433594
2020-10-26,D05_SI,D05.SI,14.359315872192383
2020-10-27,D05_SI,D05.SI,14.372802734375
2020-10-28,D05_SI,D05.SI,14.089659690856934
2020-10-29,D05_SI,D05.SI,13.860450744628906
2020-10-30,D05_SI,D05.SI,13.718881607055664
2020-11-02,D05_SI,D05.SI,13.907641410827637
2020-11-03,D05_SI,D05.SI,14.446956634521484
2020-11-04,D05_SI,D05.SI,14.527854919433594
2020-11-05,D05_SI,D05.SI,15.121100425720215
2020-11-06,D05_SI,D05.SI,15.161554336547852
2020-11-09,D05_SI,D05.SI,15.471660614013672
2020-11-10,D05_SI,D05.SI,16.449172973632812
